id,Title,Ingredients,Steps,Loves,URL,Total Porsi,Waktu Memasak,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,Total Porsi (Floor),Waktu Memasak (Floor)
11,Mie Ayam Homemade by suami😂😂😂,Bahan mie ayam :--1 kg tepung terigu proteiin tinggi--4 butir telur--3 sendok minyak goreng--Air--Secukupnyaa garam--Air untuk merebus mie :--secukupnya Air--Minyak goreng--Bumbu halus kuah ayam untuk mie ayam :--3 Dada ayam(potong kotak2 jngn terlalu besar)--5 siung bawang merah--5 siung bawang putih--4 buah kemiri--secukupnya Lada--Secukupnya ketumbar--Jahe--Lengkuas--2 lembar sereh--5 lembar daun jeruk--2 lembar daun salam--Kecap--Gula merah--Minyak untuk menumis--Bahan pelengkap :--Daun bawang--Sawi hijau--Bawang goreng(me gak pakai lupa)--Bahan sambal :--20 buah cabai rawit merah--Garam(agar tidak cepat bau asam)--Air untuk merebus--,"1) Kocok telur masukan garam n minyak goreng,aduk rata.masukan tepung terigu uleni pakai tangan sampai kalis(tidak menempel di tangan)diamkan 5 menit.
2) Bagi adonan menjadi beberapa untuk memudahkan menggilasnya nanti,pipihkn pakai tangan lalu giling pakai ketebalan 4 setalah itu giling lg pakai ketebalan 1(ketebelan selera ya kalau saya suka yg tipis),sebelum di giling ke cetakan mie beri taburan terigu di atas adonannya agar tidak menempel,lakukan sampai adonan habis.
3) Bagi mie menjadi beberapa porsi jngn lupa di beri taburan terigu ya agar tidak menempel.
4) Haluskan semua bumbu halus kecuali daun jeruk&salam.
5) Siapkan penggorengan beri minyak untuk menumis bumbu halus,masukan daun jeruk(sobek2)&daun salam,sereh geprek aja,tunggu sampai harum,lalu masukan ayam beri air(banyak boleh karna untuk kuahnya nanti)masukan kecap n gula merah,garam&penyedap test rasa.
6) Untuk sambal rebus cabai merah rawit kira2 5menit.
7) Siapkan panci beri air untuk merebus mie, masukan minyak goreng ke dalam air tujuaan untuk tidak menyatu.setelah mendidih masukan mie tunggu sampai mie naik ke atas barubdi angkat.
8) Siapkan mangkok beri garam n kuah ayam aduk2 mie baru di berikan bahan pelengkap.
9) Mie ayam homemade by suami siap di sajikan",0,https://cookpad.com/id/resep/4472541-mie-ayam-homemade-by-suami%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82,4,47,ayam,mie ayam homemade by suami,32,"mie ayam , tepung terigu , telur , minyak goreng , air , garam , air merebus mie , air , minyak goreng , bumbu halus kuah ayam mie ayam , dada ayam potong kotak jngn , bawang merah , bawang putih , kemiri , lada , ketumbar , jahe , lengkuas , serai , daun jeruk , daun salam , kecap , gula merah , minyak menumis , pelengkap , daun bawang , sawi hijau , bawang goreng me lupa , sambal , cabai rawit merah , garam cepat bau asam , air merebus",9,4,47
12,Ayam Bakar Pedas Manis Resep :Nila Sari,1 Ekor Ayam Broiler Ukuran Jumbo--Bumbu :--5 Siung Bawang Merah--10 Buah Cabe (Optional)--1 Ruas Jahe--1 Ruas Kunyit--Secukupnya Lada Bubuk--Secukupnya Ketumbar--2 Lembar Daun Jeruk--3 Lembar Daun Salam--1 Batang Serai--4 Siung Bawah Putih--Secukupnya Kecap--Secukupnya Gula Merah--Secukupnya Minyak Goreng--Secukupnya Royco--Secukupnya Garam--1 Bungkus Santan Kara--,"1) Iris tipis bawang merah dan daun jeruk.
2) Haluskan cabe, bawang putih, lada, ketumbar, jahe dan kunyit.
3) Tumis bawang merah hingga wangi.
4) Masukan bumbu yang telah dihaluskan ke dalam tumisan bawang tumis semua hingga harum.
5) Masukan serai, daun jeruk dan daun salam masak sedikit tuang santan kara dan tambahkan air.
6) Kemudian masukan ayam taburi royco, lada dan garam aduk aduk tutup dan tunggu ayam empuk dan air mulai susut tes rasa.
7) Bakar ayam bisa menggunakan arang, teflon, atau batu bakar (saya memakai grill lebih praktis).
8) Selamat Mencoba.",8,https://cookpad.com/id/resep/4472362-ayam-bakar-pedas-manis-resep-nila-sari,4,50,ayam,ayam bakar pedas manis resep nila sari,18,"ayam broiler jumbo , bumbu , bawang merah , cabe , jahe , kunyit , lada , ketumbar , daun jeruk , daun salam , serai , putih , kecap , gula merah , minyak goreng , royco , garam , santan kara",8,4,50
13,Semur Ayam Kentang Ala Mama Kirana,"1/2 Ekor ayam--Kentang--Bumbu Halus :--Bawang putih - bisa di sesuaikan sesuaikan--Bawang merah--Merica--Kemiri--Sedikit biji Pala--Cabai Merah kriting, bila suka pedas--Sedikit jahe--Rempah:--Daun salam--Lengkuas--Sereh--Kapulaga--Kulit manis--Irisan bawang bombay--Irisan tomat--Garam--Kecap manis--Sedikit penyedap rasa--Jeruk nipis untuk ayam--","1) Cuci bersih ayam lalu baluri dengan perasan jeruk nipis
2) Cuci lagi ayam dan baluri dengan garam lalu rebus sebentar lalu di goreng
3) Kentang saya goreng bisa di sesuaikan sesuai selera masing²
4) Tips goreng ayam agar hasil nya tdk keras : di goreng hanya sebentar
5) Tumis bawang bombay lalu masukan bumbu halus dan masukkan semua rempah + irisan tomat + kecap manis
6) Setelah bumbu harum masukkan air tunggu gingga mendidih
7) Tambahkan garam + penyedap rasa apabila kurang manis bisa ditambahkan kecap lagi
8) Setelah semua sudah sesuai dgn rasa masukkan kentang goreng + ayam goreng
9) Tunggu kuah hingga menyusut dan kiraa² 5 mnt angkat. Dan terakhir saya taburin bawang goreng bisa disesuaikan jg dgn selera masing². Selesai",2,https://cookpad.com/id/resep/4472563-semur-ayam-kentang-ala-mama-kirana,3,45,ayam,semur ayam kentang ala mama kirana,22,"ayam , kentang , bumbu halus , bawang putih , bawang merah , merica , kemiri , pala , cabai merah kriting , suka pedas , jahe , rempah , daun salam , lengkuas , serai , kapulaga , kulit manis , irisan bawang bombai , irisan tomat , garam , kecap manis , penyedap , jeruk nipis ayam",9,3,45
14,Ayam suwir,300 gram Ayam suwir (sudah direbus/Goreng)--5 siung bawang merah--3 siung bawang putih--1/2 buah tomat--1/2 sdt merica--1/2 sdt terasi--2 buah cabe rawit--2 buah cabe kriting--Secukupnya gula--Secukupnya garam--Secukupnya air--Secukupnya penyedap rasa (Royco)--2 lembar daun salam--1 jari Lengkuas geprek--,"1) Haluskan semua bumbu kecuali tomat, lengkuas, Dan daun salam
2) Siapkan wajan untuk menumis Bumbu, kemudian tuang sedikit minyak Goreng Dan tumis Bumbu yang sudah dihaluskan ditambah daun Salam Dan lengkuas
3) Setelah tercium bau Bumbu yang ditumis kemudian masukkan tomat yang sudah dipotong potong
4) Kemudian setelab tomat layu masukkan air secukupnya Dan rasakan kuahnya kalau belum pas bisa ditambahkan penyedap rasa (Royco)
5) Masukkan ayam yang sudah disuwir Dan aduk
6) Tunggu sampai meresap Dan air berkurang
7) Dan sajikan",0,https://cookpad.com/id/resep/4471653-ayam-suwir,4,51,ayam,ayam suwir,14,"ayam suwir direbus goreng , bawang merah , bawang putih , tomat , merica , terasi , cabe rawit , cabe kriting , gula , garam , air , penyedap royco , daun salam , lengkuas",7,4,51
15,Ayam goreng tepung,150 gr fillet ayam--5 sdm tepung bumbu serbaguna--1 butir telur ayam (kocok lepas)--Garam sck--Minya goreng secukupnya untuk menggoreng--,"1) Cuci ayam, tiriskan beri perasan jeruk lemon (skip boleh) Potong ayam bentuk dadu.
2) Koco telur beri secukupnya garam. Masukkan ayam yg telah dipotong dadu.
3) Balurkan ke dalam tepung serbaguna.
4) Goreng pada minyak yg panas.
5) Siap disantap",1,https://cookpad.com/id/resep/4472498-ayam-goreng-tepung,5,36,ayam,ayam goreng tepung,5,"fillet ayam , tepung bumbu , telur ayam kocok lepas , garam , minyak goreng",5,5,36
16,Tulang Ayam Pedas Manis,1/2 kg tulang ayam bersihkan lalu potong--5 bh cabe merah keriting--5 bh cabe rawit (tambah jika suka pedas)--4 butir bawang merah--2 butir bawang putih--1 ruas kunyit--2 lbr daun salam--1 lbr daun jeruk--1 btg sereh geprek--1 ruas jahe geprek--1 btr jeruk nipis--secukupnya kaldu bubuk--secukupnya gula pasir--secukupnya kecap manis--500 ml air untuk merebus tulang--minyak untuk menumis--,"1) Setelah tulang ayam di bersihkan dan di potong potong lumuri tulang dengan perasan jeruk nipis lalu biarkan
2) Siapkan bumbu yg akan di haluskan bwg merah, bwg putih, cabe, dan kunyit blender hingga halus
3) Siapkan air untuk merebus tulang tambahkan jahe yg sudah di geprek dan daun jeruk ungkep tulang hingga air menyusut
4) Tumis bumbu yg sudah di halus kan tambahkan air secukupnya dan daun salam juga sereh geprek, masukan tulang ayam, beri kaldu bubuk, gula pasir dan kecap manis secukupnya jgn lupa test rasanya dan biarkan tulang ayam hingga meresap
5) Setelah tulang ayam kuahnya agak sedikit meresap angkat lalu sajikan
6) Bisa untuk teman makan mie ayam lohh moms",3,https://cookpad.com/id/resep/4472409-tulang-ayam-pedas-manis,3,43,ayam,tulang ayam pedas manis,16,"tulang ayam bersihkan potong , cabe merah keriting , cabe rawit suka pedas , bawang merah , bawang putih , kunyit , daun salam , daun jeruk , serai , jahe , jeruk nipis , kaldu bubuk , gula pasir , kecap manis , air merebus tulang , minyak menumis",6,3,43
17,Ayam penyet rumahan,"1 ekr ayam negri cuci bersih ptng beri air jeruk nipis cuci lagi--1 buah jeruk nipis--Bumbu ayam goreng jd,yg bsah. bisa beli di pasar,aku beli 3rb--2 lmbr daun salam--2 lmbr daun jeruk--1 btng sere geprek--Garam secukupnya dan penyedap--secukupnya Minyak goreng--Sambel penyet:--20 buah cabe rawit merah--5 buah cabe merah--2 siung bawang p kating--5 buah bawang merah goreng sebentr--Penyedap dan sedikit gula--","1) Ungkep ayam bersama bumbu jadi, daun salam, daun jeruk, sere,dan garam,tambah sedikit penyedap apinya kecil ajah ya. Lalu tutup
2) Apabila sudah empuk dan matang goreng dalam minyak panas dan banyak sampe warna kuning kecoklatan, angkat
3) Sementara lagi goreng ayam, kita siapkan sambel dulu, uleg semua cabe, dan bawang merah garam,sedikit gula dan penyedap, setelah agak halus kumpulin sambalnya di tengah cobek lalu siram dengan minyak panas bekas goreng ayam tadi lalu uleg lagi supaya rata
4) Masukan ayam goreng ke dalam cobek lalu penyet pake ulegan, siap di hidangkan
5) Selamat mencoba",3,https://cookpad.com/id/resep/4472187-ayam-penyet-rumahan,6,46,ayam,ayam penyet rumahan,14,"ayam negri ptng air jeruk nipis , jeruk nipis , bumbu ayam goreng , daun salam , daun jeruk , btng serai geprek , garam penyedap , minyak goreng , sambel penyet , cabe rawit merah , cabe merah , bawang putih , bawang merah goreng , penyedap gula",5,6,46
18,Sop ayam,1 kg ayam potong kecil kecil--1/2 kg ceker ayam bersihkan--1/2 kg kentang iris--1/2 kg wortel iris--1 mangkok makaroni (rebus)--2 batang daun bawang (sesuai selera)--4 batang daun seledri (sesuai selera)--Bumbu dihaluskan :--8 siung bawang merah--5 siung bawang putih--Tambahan :--1 sendok teh lada halus--secukupnya Garam--Penyedap rasa (bila Sun's saya pake gula aja)--,"1) Tumis bawang merah dan bawang putih hingga harum
2) Masukkan potongan ayam dan ceker ke tumisan bumbu aduk rata
3) Pindahkan ke panci besar tanbahkan air secukupkan
4) Didihkan sampai ayam dan ceker cukup matang
5) Masukkan kentang dan wortel yang diiris tadi, tunggu sampai lembut
6) Masukkan macaroni yg sudah direbus
7) Taburkan lada bubuk dan garam, tes rasa
8) Terakhir masukkan daun bawang dan daun seledri
9) Siap dihidangkan, taburkan bawang goreng biar tambah maknyuss",3,https://cookpad.com/id/resep/4472298-sop-ayam,4,38,ayam,sop ayam,14,"ayam potong , ceker ayam bersihkan , kentang , wortel , mangkok makaroni rebus , batang daun bawang , batang daun seledri , bumbu dihaluskan , bawang merah , bawang putih , tambahan , lada , garam , penyedap suns pake gula",9,4,38
19,Ayam suwir,400 grm dada ayam--3 lembar daun jeruk--4 siung bawang putih--6 siung bawang merah--1 cm jahe--1 cm kunyit--secukupnya Garam dan gula--Minyak untuk menumis--,"1) Rebus ayam sampai matang dan di suir suir.
2) Haluskan bawang putih, bawang merah, jahe, dan kunyit.
3) Panaskan minyak tumis bumbu halus, masukkan daun jeruk masak hingga harum tambahkan air secukupnya.
4) Masukkan ayam masak hingga matang.",0,https://cookpad.com/id/resep/4472222-ayam-suwir,7,32,ayam,ayam suwir,8,"dada ayam , daun jeruk , bawang putih , bawang merah , jahe , kunyit , garam gula , minyak menumis",4,7,32
20,Nugget Ayam Home Made,"1/4 kg ayam d fillet ambil dagingnya aja--1 buah wortel--1 buah daun bawang prei--4 siung bawang putih--8 siung bawang merah--1 sdt merica--1/2 kg tepung tapioka--2 telur ayam--Garam, penyedap rasa--Tepung roti/ tepung panir--","1) Cuci bersih ayam. Setelah itu potong kecil2. Masukkan dlm blender. Tambahkan 1 telur ayam, bwg pth, bwg merah, merica. Air sdkt. Lalu blender.
2) Setelah itu parut wortel, ptong kecil2 daun bawang prei
3) Taruh adonan ayam dalam wadah
4) Masukkan wortel, daun prei, tepung tapioka 10 sdm. Kalau pengen lebih padet bisa tambahkan lagi. Sesuai selera
5) Aduk2 ya sampai tercampur rata. Tambah i garam, penyedap.
6) Siapkan wadah. Tuang adonan ke dalam wadah yg sebelumnya d olesi mentega
7) Kukus d panci pengukusan. Kukus 30 - 40 mnt.
8) Setelah matang, keluarkan dr panci. Biarkan dingin. Lalu keluarkan.
9) Siapkan 1 telur (dikocok), tepung panir. Potong2 adonan jd kecil2, celupkan ke telur, lalu baluri dg tepung panir.
10) Setelah itu goreng.Nugget siap d hidangkan. Nugget juga bisa d simpan d dalam freezer ya moms . Jadi sewaktu2 bisa langsung goreng.",6,https://cookpad.com/id/resep/4472482-nugget-ayam-home-made,3,42,ayam,nugget ayam home made,10,"ayam fillet ambil dagingnya , wortel , daun bawang prei , bawang putih , bawang merah , merica , tepung tapioka , telur ayam , garam , penyedap , tepung roti tepung panir",10,3,42
